person,artist
2534,17
16489,96
17876,103
29215,190
11103,267
20735,133
67,187
4068,149
11389,47
26311,74
24780,73
17875,252
13390,234
5593,56
25117,174
15175,68
21104,180
28259,112
14561,278
7419,148
13582,174
20123,160
5670,51
7579,222
11907,121
6534,165
15635,278
244,143
3349,109
4664,280
28790,123
5610,96
20494,80
22546,288
9878,157
28967,100
10712,25
23107,221
14316,177
21887,6
5068,114
10496,249
10379,254
29377,161
27501,205
22530,220
5840,74
548,205
17926,57
16469,227
5006,23
11361,270
1619,4
9123,53
18466,166
12236,99
18832,58
5099,194
19670,267
19253,273
18474,192
12143,279
22703,246
23629,225
26859,280
24964,217
5070,10
20341,2
14873,5
16949,53
12152,8
13012,77
5549,184
29508,71
4945,177
6787,63
3433,29
25510,120
5512,20
13729,119
12367,118
9673,3
7737,50
12751,177
11163,196
28310,279
28204,113
25194,122
11872,58
12489,31
12139,102
27403,159
23460,110
16483,67
29135,270
19583,175
3028,77
3546,217
17278,78
25940,21
19117,152
17500,273
2788,71
21145,91
10267,261
9094,242
27267,167
1265,271
29294,28
547,182
5137,119
12656,154
1820,40
19754,269
2387,37
5980,240
6547,244
17467,4
25930,196
17194,38
29408,59
6676,130
10802,289
14671,82
1454,19
3921,129
23179,289
11819,55
11036,104
16384,1
8167,121
26237,32
22977,161
27634,28
10013,197
16961,14
3053,129
18573,259
8688,271
15810,213
16226,256
5542,120
9181,80
28680,82
6567,201
3583,5
6419,210
16987,228
5207,291
11314,229
22976,198
4855,249
16485,110
1117,11
1552,170
10871,206
18003,68
24235,154
17811,130
10403,39
21315,251
22916,49
17069,8
22088,95
29346,47
20033,271
4654,185
1790,193
27215,280
20633,54
15459,205
132,171
11030,185
26341,235
7434,115
26167,157
19335,114
17437,183
7083,29
12800,162
12804,271
23246,280
21542,250
24918,83
22937,168
14955,123
17712,221
28720,27
13037,75
11738,291
12561,288
16320,242
28465,26
27843,72
8078,287
19202,54
21493,39
15781,222
3341,220
6019,189
3984,197
21262,241
519,274
201,176
21358,272
23147,32
6335,234
16866,230
15419,126
22085,58
24808,29
12905,13
4565,26
24698,298
9173,282
9412,206
22979,267
6890,38
17019,246
9006,145
5160,87
20474,88
22407,115
14204,187
15084,131
18720,251
27956,237
4244,11
22908,85
14693,205
20656,285
5607,110
17612,187
27485,232
10916,122
23348,107
24014,202
26150,6
11851,31
18727,189
6066,149
22873,219
23393,192
12183,82
4051,165
25376,109
5315,91
6051,24
4755,119
1414,168
28635,262
21731,60
509,148
29927,101
3799,231
28289,293
4700,185
25353,103
16664,75
2464,194
8748,90
2331,298
29636,80
678,52
25308,219
23775,159
12665,29
5224,130
23917,29
4232,119
24490,111
26327,289
18255,58
1424,26
18077,55
27091,262
3910,218
14841,262
18118,91
22813,177
15751,71
15857,183
9050,293
7959,118
6394,67
20496,248
26893,51
24631,155
19603,101
15320,4
18980,4
538,70
904,174
6388,6
20962,278
7578,168
3164,140
2918,22
22609,212
17332,231
14212,128
16272,20
21794,118
21833,211
22869,128
5659,282
22231,282
28423,237
13443,221
2683,3
26738,96
26598,242
7351,207
25198,218
14017,65
24829,130
20202,168
2985,128
6721,13
16377,111
26224,22
1687,244
16088,84
17960,270
19264,6
2443,1
4681,9
3858,10
10869,4
18124,288
19198,79
7852,80
10644,102
924,148
17344,106
11036,276
16573,297
8074,123
22689,272
15523,148
18802,176
2956,221
9536,108
21038,275
18200,44
13459,35
6674,230
3862,47
6633,37
21149,231
2204,117
3732,188
19938,162
23265,17
11706,249
13406,146
2761,288
816,256
6633,38
12779,187
26407,120
6739,11
21664,18
11377,268
22672,89
7534,265
14101,121
13228,276
26162,140
22531,212
12856,19
25809,109
12385,281
10005,289
4383,288
3400,146
20582,90
14849,252
3804,68
29690,182
961,151
6330,84
7103,128
2431,117
9312,74
26685,191
12460,28
10600,123
17518,25
4045,267
23654,130
7927,268
24294,281
6588,17
5658,177
7801,136
16828,122
29308,183
3673,225
76,207
26408,44
12852,189
18912,207
8856,266
14149,46
20852,132
1359,124
1879,246
19736,46
6337,238
14770,156
19429,265
26107,206
7907,147
17886,108
6477,68
16920,239
7575,237
10316,96
17660,177
4408,80
24797,101
10699,114
16528,188
1437,130
8005,234
2246,119
18299,110
13730,214
1319,285
18827,126
24518,203
6925,275
1977,65
2506,62
20526,23
16384,113
11573,179
28863,227
27328,217
27105,7
22959,183
6365,235
9373,33
5050,42
29212,247
28953,10
396,69
8174,294
20811,183
28079,113
15250,236
29779,33
19917,206
8404,101
14132,274
72,262
24684,187
23353,62
18392,90
10775,256
26591,141
331,183
15680,137
14547,241
1505,282
4156,288
23839,129
22517,99
12458,186
22193,222
1968,191
15163,142
29015,200
3671,264
25127,222
14213,283
21906,135
22893,168
27131,180
26260,2
11624,181
6365,225
15081,46
17534,205
4709,163
15176,277
25119,191
24835,22
12718,4
12165,107
13555,186
27053,4
25082,30
9085,219
21385,220
10449,107
12290,231
28949,221
19032,101
271,204
23610,208
23340,48
5345,82
26257,120
21673,21
7916,220
14964,196
27484,23
14138,117
24218,183
8618,296
8631,163
17714,224
4673,255
26963,80
7439,239
21135,49
11279,14
20592,162
19332,66
9960,297
19959,170
20320,30
22042,184
7808,11
12610,82
25548,41
1168,24
14983,119
8965,138
8575,133
25401,181
16160,248
10631,150
12743,182
4209,277
17524,31
19494,271
6550,105
11412,78
7821,261
7909,66
18160,297
23635,86
20518,221
516,130
11338,83
10467,55
14615,271
10697,104
22491,276
26134,82
29479,156
2512,255
2439,296
